Topic,Count,Name,Representation,Representative_Docs
9,855,9_esculturas_estatuas_malecon_maritimo,"['esculturas', 'estatuas', 'malecon', 'maritimo', 'paseo', 'arte', 'tiendas', 'artistas', 'restaurantes', 'bronce']","['agradable paseo noche restaurantes observar gente esculturas arena obras arte estatuas momento adecuado sentarse mirar atardecer bahia puerto vallarta', 'hermoso paseo paseo maritimo tiendas restaurantes encanto mirar esculturas', 'hermoso paseo paseo maritimo tiendas restaurantes encanto mirar esculturas']"
10,844,10_habitacion_hotel_habitaciones_pullman,"['habitacion', 'hotel', 'habitaciones', 'pullman', 'personal', 'pattaya', 'desayuno', 'servicio', 'recepcion', 'piscina']","['bonito hotel personal pattaya playa amable servicial habitaciones necesitan familias hotel estancia desayuno opciones', 'estadia increible hotel pullman pattaya habitacion g desayuno limpio excelente gracias recepcionista hotel', 'estancia perfecta limpieza habitacion habitacion gracias buscando habitacion disfrute excelente desayuno buffet mariscos general hotel personal amable excelente servicio']"
11,841,11_tiendas_restaurantes_bares_vendedores,"['tiendas', 'restaurantes', 'bares', 'vendedores', 'avenida', 'drogas', 'calle', 'compras', 'ambulantes', 'comprar']","['excelente zona observar gente tiendas restaurantes bares', 'vista hermosa calle restaurantes tiendas', 'necesita lineas encontradas tiendas restaurantes vendedores cafeterias tiendas heladerias puestos excursiones noche animada multitudes atmosfera caminado quedarse calle cerca avenida tiendas restaurantes trafico lugar centro comercial tomar ferry recomendaria alojarse cerca avenida restaurantes tiendas avenida excelentes restaurantes vendedores comida monton baratijas turistas lugares souvenirs boutiques tiendas ropa marca joyerias tiendas tequila gratis']"
12,590,12_tema_boca_volveria_muchisimo,"['tema', 'boca', 'volveria', 'muchisimo', 'esperado', 'atardecer', 'ganas', 'mejorar', 'mismaloya', 'sintio']","['viaje arcos mismaloya recorrido armado general tema relacion calidadprecio destaco plan tranquilo manana llegamos atardecer luz ayudo muchisimo quede ganas repetir nota lugar llevado', 'general plaza armas agradable sentarse rato honestamente tema relacion calidadprecio supero esperado amigos domingo temporada alta imagino cambia recomiendo problema visitas dejan sabor boca', 'viaje arcos mismaloya sintio apresurado tema tranquilidad marco diferencia positiva plan tranquilo mediodia llegamos atardecer luz ayudo muchisimo vale pena visitas dejan sabor boca']"
13,560,13_maya_ruinas_tulum_mayas,"['maya', 'ruinas', 'tulum', 'mayas', 'sitio', 'cultura', 'historia', 'cuevas', 'itza', 'secreto']","['ruinas tulum vale pena recorrer sitio pequeno pequeno ruinas chichen itza mejores sitios mayas ubicacion espectacular ruinas playa acantilado distancia estacionamiento taquilla optar pequeno viaje tren obtener guia bonito haga lectura extensa buscar guia excelente conocimiento historia maya ciertamente impresionado ano pasar minutos horas sitio gente guia generalmente ocupado pm sitio iguanas corriendo partes playa desafortunadamente lleno molestar', 'visite lugares mayas tulum definitivamente tulum trampa turistas general gente costosa costo estacionamiento pesos ruinas pesos ok edificios hora visita edificios edificios mayas realmente interesados cultura maya coba paso chichen itza tulum vale pena visitar', 'tulum famoso ruinas mayas increible belleza sitio pequeno facil caminar entrar puerta piedra paso mirar iguanas edificios ancho punto famoso piramide maya templo ojo baja edificios impresionante tulum sitio maya tardio chichen itza ciudades arquitectura diseno ciudad siente puerto ciudad cerca capaz comercio tiempo presten especial atencion puerta templo izquierda pie puerta principal interesante templo realidad acercarse edificios antiguos atado escalada acercandose edificios personales disfrutar distancia camara obtener mirada cerca reservando excursion crucero pesos auto recordar costo boletos agradable permiten souvenirs estacionamiento cerca tiendas sitio accesible dificil cualquiera caminar silla ruedas numerosos problemas manejar caminar estacionamiento ruinas ruinas acceso playa playa vista concurrida ruinas vale pena caminar absolutamente impresionantes sitios mayas llegar evitar multitudes tiempo disfrutar sitio ruinas iguanas historia lugar tiempo esposa maya hija disfrute tiempo recomendado historia familiar disfrutar']"
14,559,14_deportivo_puerto_barcos_jueves,"['deportivo', 'puerto', 'barcos', 'jueves', 'yates', 'restaurantes', 'mercado', 'tiendas', 'cruceros', 'noche']","['pasar noche caminando puerto deportivo buscando excelentes barcos tiendas puerto deportivo lugares excelentes comer comprar caminar genial comprar comer', 'disfrute puerto deportivo vallarta restaurantes variedad especialmente disfrute vista abierta puerto excelente economico campo golf puerto deportivo especial hermoso aves cocodrilos iguanas mercado jueves noche puerto deportivo vendedores encontrar aguas mercado puerto proporcionar peces interesantes cangrejos cocodrilos encanta caminar puerto deportivo observar gente yates definitivamente vale pena quedarse visita', 'bonito lugar tienda comer restaurantes tiendas puerto deportivo pasarela vista sol agua barcos puerto deportivo tranquilo']"
15,495,15_lugar_hermoso_bonito_excelente,"['lugar', 'hermoso', 'bonito', 'excelente', 'vacacionar', 'maravilloso', 'lindo', 'precioso', 'visitar', 'encanto']","['excelente lugar', 'excelente lugar pasar hermoso', 'realmente hermoso lugar']"
16,480,16_with_sparkles_flecha_whatsapp,"['with', 'sparkles', 'flecha', 'whatsapp', 'lujo', 'pushpin', 'round', 'casa', 'movil', 'telefono']","['bolsa dinero condominio venta playa carmen residencias playa xcalacoco cama habitacion banera salle bano completo salle eau regla triangular construccion calendario construit edificio oficinas etage dolar billete frais mantenimiento mxn decouvrez excelente condominio hotel habitacion xcalacoco venta entierement meuble equipe stationnement inclus residencias playa offre experiencia unica piscinas restaurantes bares gimnasio spa plus encore destellos oportunidad inversion excepcional entorno hotelero haut gamme parfait generer ingresos locatifs toutprofitant cadre paradisiaque indice reves apuntando derecha reservez appel savoir plus info com globo meridianos receptor telefono whatsapp bolsa dinero condominio venta playa carmen cincos residencias playa xcalacoco cama recamara banera bano completo bano regla triangular calendario construccion edificio oficinas construido piso billete dolar cuota mantenimiento mxn hermoso dormitorio condo hotel xcalacoco totalmente equipado incluye estacionamiento cincos playa residencias ofrece amenidades estilo resort acceso ensueno piscinas restaurantes bares gimnasio spa destellos fantastica oportunidad inversion ambiente lujoso fuerte potencial alquiler instalaciones clase mundial indice reves apuntando derecha libro llamada aprender info com globo meridianos receptor telefono whatsapp playadelcarmen bienestamexico condominio venta xcalacoco investinmexico estilo vida caribe alquiler vacacional thefives rivieramaya', 'casa jardin oportunidad venta residencia lujo pueblo corasol palmera aproveche oportunidad cama lujo bano residencia pueblo corasol ofrecido inversionista precio lista actual regla triangular edificio oficinas torre automovil incluye lugar estacionamiento tipo casa plano planta brilla gama alta acabado chukum fuego estufa gas residencias turisticas pueblo comunidad exclusiva corasol riviera maya disenado sordo madaleno disfrute disenos modernos entornos exuberantes impresionante lago vistas campo golf amenidades lujo hectareas pueblo ofrece piscinas familiares areas juego compras playa carmen membresia exclusiva corasol costa beach club coyote golf ronda chincheta minutos aeropuerto cancun vuelos directos principales ciudades canadienses flecha consultar lista precios indice dorso apuntando derecha tono piel informacion com bienes raices mexico playadelcarmen rivieramaya tulum tankah cancun puertoaventuras caribe inversion propiedad estilo vida expatriado roi estadia vacaciones cozumel playa carmen bienes raices tulum bienes raices condominio venta desarrollo rivieramayarealestate inversiones propiedades estilo vida alquileres vacacionales destinos retiro estilo vida alquileres vacacionales comienzo tulum vibraciones', 'ola agua bahia tankah condominios lujo naturaleza elegancia descubre coleccion condominios lujo ubicado jungla caribena prestigiosa bahia tankah impresionantes vistas mar piscina azotea spa espacio trabajo ofrece minutos estilo vida inigualables tulum residencia exclusiva permite experimentar vida frente playa combinacion perfecta naturaleza lujo mxn chincheta redonda bahia tankah experiencia oportunidad perdida hierba viva lujo indice reves apuntando derecha tono piel contacto equipo ventas info com bienes raices mexico playadelcarmen rivieramaya tulum tankah cancun puertoaventuras inversion caribena propiedad estilo vida expatriado roi estancia vacaciones cozumel playa carmen bienes raices tulum bienes raices condominio venta desarrollo riviera maya real inversion inmobiliaria propiedades estilo vida alquileres vacaciones retiro destinos estilo vida alquileres vacaciones comienzo tulum vibraciones']"
17,392,17_tema_muchisimo_chinas_esperaba,"['tema', 'muchisimo', 'chinas', 'esperaba', 'toco', 'colomitos', 'volveria', 'ganas', 'prisa', 'mismaloya']","['experiencia playa conchas chinas arena esperaba tema ubicacion sumo muchisimo plan tranquilo semana llegamos atardecer luz ayudo muchisimo definitivamente volveria sintio comodo', 'encanto playa conchas chinas podia pasar rato prisa honestamente tema vista destaco pareja vacaciones puntos tomar fotos quede ganas repetir visitas dejan sabor boca', 'quede fascinado playa conchas chinas vista bahia disfruta muchisimo tema limpieza destaco papas atardecer clima toco favor mejoro quede ganas repetir quedamos ganas volver tiempo']"
18,309,18_barco_barcos_atracado_bote,"['barco', 'barcos', 'atracado', 'bote', 'puerto', 'cubierta', 'tomada', 'crucero', 'fondo', 'foto']","['barco gente agua foto tomada barco trirreme atracado puerto barco pequeno barco pequeno foto tomada barco barco canva vallejo barco gildhardho barco lago barco barco carnaval fondo concepto barco', 'barco agua cerca acantilado rocoso foto tomada barco redes barcos barco pequeno plano barco pequeno foto plano barco tomado barcos pesca barcos agua barco pesca jamaica barcos agua barco plano aguas azules naufragio barco pequeno barco pequeno', 'barco agua cerca roca barcos puerto remolinos escuelas pez plateado foto tomada ektachrome puerto fondo costa fondo barco vela barcos agua llegando tierra atracado puerto foto tomada barco barcos pesca barcos agua barco pequeno plano']"
19,301,19_museo_exhibiciones_historia_exposiciones,"['museo', 'exhibiciones', 'historia', 'exposiciones', 'rupestres', 'exposicion', 'pinturas', 'salas', 'interesante', 'acondicionado']","['museo bonito', 'trabajo visitar museo museo interesante museo antropologia museo historia pequenas exhibiciones pinturas rupestres leer exhibiciones exhibiciones museo experiencia visitada', 'historia museo']"
